N,question,contexts,answer
11,Как связаться сотрудниками деканата ИИКС?,"«Чугунков Илья Владимирович (ivchugunkov@mephi.ru) — начальник учебного отдела.» (стр. 8) «Учебный офис: Г-309/ Г-313» (стр. 8) «ИИКС +7 (495) 788 56 99, доб. 8076» (стр. 64)","По ИИКС можно писать на почту начальника учебного отдела: ivchugunkov@mephi.ru , либо прийти в Г-309/Г-313. По телефону: +7 (495) 788-56-99, доб. 8076."
12,"Есть ли в университете подразделение, которое занимается международными программами и обменами?",«Студенты проходят стажировки в зарубежных университетах и научных центрах.» (стр. 12) «Институт международных отношений (ИМО)» (стр. 11),"Да, в ИМО есть стажировки в зарубежных университетах и научных центрах."
13,Как вообще устроен семестр в вузе: когда начинается зачётная неделя и чем она отличается от сессии?,"«Учебный процесс в МИФИ разделён на три этапа:» (стр. 15) «Семестр (учебные недели) — это время, когда мы ходим на лекции и семинары, выполняем домашние задания, лабораторные и курсовые работы…» (стр. 15) «Дальше идёт зачётная неделя с пересдачей долгов и сдачей зачётов…» (стр. 15) «…сессия, сдача экзаменов.» (стр. 15) «Зачётная неделя осеннего семестра начинается после 16-й недели…» (стр. 16) «После зачётной недели наступает экзаменационная сессия.» (стр. 16)","Сначала идёт семестр: пары, домашки, лабы и т.д. Потом зачётная неделя — там закрывают долги и сдают зачёты. А сессия — это уже экзамены. По срокам: зачётная неделя осенью начинается после 16-й недели, и после неё начинается экзаменационная сессия."
14,"Если я завалил что-то в течение семестра (например, лабу или БДЗ), меня могут не допустить к экзамену?","«Студенты допускаются к экзаменационной сессии при условии сдачи всех зачетов, всех курсовых работ.» (стр. 22) «Если студент не имеет зачёта по физическому практикуму, к экзамену по физике он не допускается.» (стр. 22) «Чтобы получить зачёт по некоторым предметам, необходимо сдать все лабораторные работы…» (стр. 23) «…задают большое домашнее задание (БДЗ), обязательное для сдачи на определённой неделе.» (стр. 19)","Да, такое может быть. До экзаменов обычно допускают, когда сданы все зачёты и курсовые. Если по предмету нет зачёта из-за лаб (например, по физике), к экзамену могут не допустить. БДЗ тоже бывает обязательным: если его не сдать, можно не набрать нужные баллы/не получить зачёт."
15,"В расписании написано «чётная/нечётная неделя» - как понять, какая сейчас идёт?",«квадрат с закрашенным правым нижним углом — занятия только по чётным неделям» (стр. 16),Занятия только по четным неделям обозначаются квадратиком с закрашенным правым нижним углом.
16,Что значит пометка «ДОТ» в расписании вместо номера аудитории?,"«Если же вместо номера аудитории стоит значок «ДОТ», то это значит, что оно будет проводиться в дистанционном формате.» (стр. 17)","«ДОТ» значит, что занятие будет дистанционно (онлайн), а не в аудитории."
17,Что такое полусеместровый контроль на 8-й неделе и это обязательно для всех предметов?,"«Цель данного мероприятия — провести контроль успеваемости студента за прошедшую половину семестра.» (стр. 21) «Полусеместровый контроль — это неделя, которая ознаменована всевозможными коллоквиумами, контрольными и опросами» (стр. 21) «К концу недели по итогам контрольных мероприятий студенту выставляется оценка по каждому предмету.» (стр. 21) «Некоторые преподаватели проводят контрольные мероприятия на 7 или 9 неделе» (стр. 21)","Полусеместровый контроль (он же “8-я неделя”) — это промежуточная проверка успеваемости за половину семестра. Обычно в эту неделю много коллоквиумов, контрольных и опросов. По итогам недели выставляется оценка по каждому предмету, но у некоторых преподавателей контроль может быть на 7-й или 9-й неделе."
18,Какие вообще условия допуска к зачётной и экзаменационной сессии в университете?,"«Сессия бывает двух видов: зачётная и экзаменационная.» (стр. 22) «Студенты допускаются к экзаменационной сессии при условии сдачи всех зачетов, всех курсовых работ.» (стр. 22) «Если студент имеет задолженности по зачётам в период зачетной сессии, он не допускается до сдачи экзаменов до тех пор, пока не сдаст все зачёты,» (стр. 22) «либо пока институт не даст разрешение сдавать студенту экзамен.» (стр. 22)","Сессия бывает зачётная и экзаменационная. К экзаменационной сессии допускают, если сданы все зачёты и все курсовые. Если есть долги по зачётам в зачётную сессию, до экзаменов не допускают, пока не сдашь все зачёты (или пока институт не разрешит сдавать экзамен)."
19,"Сколько попыток пересдачи даётся в НИЯУ и что происходит, если не сдать с нескольких раз?","«Пересдача неудовлетворительной оценки в период экзаменационной сессии не допускается.» (стр. 22) «Как минимум, на пересдачу экзаменов отводится 2 попытки: пересдача и комиссия,» (стр. 22) «Однако, руководство кафедр само вправе определять количество пересдач.» (стр. 22)","Минимум даётся 2 попытки на пересдачу экзамена: пересдача и комиссия. При этом кафедра может сама установить другое количество пересдач. Что именно будет дальше, если не сдать после нескольких попыток, отдельно не расписано."
20,"Если я считаю, что преподаватель несправедливо не допускает меня к экзамену, куда можно обратиться?","«Если во время учебного процесса возникает спор с преподавателем, то следует обратиться по этому вопросу в комиссию по урегулированию споров между участниками образовательных отношений.» (стр. 23) «Для этого: зайти в раздел Сервисы, далее перейти во вкладку Цифровые услуги,» (стр. 23) «далее в Обращения по вопросам учебного процесса, Вопрос по учебному процессу.» (стр. 23)","Если спор с преподавателем, можно обратиться в комиссию по урегулированию споров. Путь: Сервисы - Цифровые услуги - Обращения по вопросам учебного процесса - Вопрос по учебному процессу."
21,"Если я заболел в период зачётной или экзамена, как правильно оформить перенос и что для этого нужно?","«Там вас осмотрит врач и выпишет справку на 5 дней.» (стр. 64) «Закрытую справку вы несете в учебный отдел, где вам, при ее предъявлении, выдают допуск по уважительной причине.» (стр. 65) «Необходимо предоставить справку о болезни в учебный отдел и пойти на пересдачу.» (стр. 65)","Нужна справка из поликлиники. Потом закрытую справку нужно отнести в учебный отдел — по ней выдают допуск по уважительной причине. Если ты проболел экзамен, нужно предоставить справку в учебный отдел и идти на пересдачу."
22,"Как вообще понять по номеру аудитории, в каком корпусе и на каком этаже она находится? Есть ли какая-то логика в этих цифрах?","«название любого кабинета состоит из трех частей:» (стр. 23) «буква впереди обозначает корпус, в котором находится нужное помещение,» (стр. 23) «следующая за ней цифра — этаж,» (стр. 23) «две оставшиеся — номер самого кабинета.» (стр. 23) «Например, кабинет Б-213 будет находиться в Б-корпусе на 2-м этаже.» (стр. 23)","Да, логика есть: буква — это корпус, первая цифра — этаж, две последние цифры — номер кабинета. Пример: Б-213 — это Б-корпус, 2 этаж."
23,"Если я не могу найти аудиторию перед парой, куда быстрее всего обратиться за помощью?","«В приложении НИЯУ МИФИ в разделе Меню → Навигация есть подробная карта МИФИ с кабинетами.» (стр. 24) «В нем можно как просто найти кабинет на карте, так и построить маршрут от одного кабинета до другого.» (стр. 24)",Быстрее всего открыть приложение НИЯУ МИФИ и зайти в Меню - Навигация. Там есть карта с кабинетами и можно построить маршрут.
24,"Чем отличается счз от нчз и эчз, и куда лучше идти, если нужно просто спокойно посидеть и подготовиться к семинару?",«Студенческий читальный зал (СЧЗ)» (стр. 25) «Научный читальный зал (НЧЗ)» (стр. 26) «Электронный читальный зал (ЭЧЗ)» (стр. 26),"СЧЗ — это студенческий читальный зал, НЧЗ — научный читальный зал, ЭЧЗ — электронный читальный зал. Куда именно лучше идти “чтобы спокойно посидеть и подготовиться”, отдельно не указано, но обычно для этого подходят читальные залы (СЧЗ/НЧЗ/ЭЧЗ)."
25,Какие услуги можно получить в студенческом офисе - это только справки или там ещё что-то оформляют?,"«Студенческий офис — это сочетание двух пространств: цифрового … и физического …» (стр. 28) «…в окнах, в которых можно получить все физические копии цифровых документов по необходимости.» (стр. 28) «…через раздел “Сервисы” можно заказать и оформить все необходимые документы (справки об обучении, копии документов о предыдущем образовании, одноразовые пропуска и прочее).» (стр. 28)","Это не только справки. В студофисе можно заказать и оформить документы: справки об обучении, копии документов о предыдущем образовании, одноразовые пропуска и другое. Также там можно получить физические копии цифровых документов."
26,"Если мне нужна справка (например, для общаги или военкомата), её делают сразу или нужно ждать несколько дней?",Сроки изготовления справок в студенческом офисе не указаны.,"Сроки, за сколько делают справки, мне не известны. Лучше уточнить это напрямую в студофисе (через их контакты или при обращении)."
27,Кому обязательно вставать на воинский учёт в вузе и нужно ли это делать всем первокурсникам?,"«После поступления каждый первокурсник обязан явиться в военно-мобилизационное управление МИФИ (Г-119) с паспортом, приписным свидетельством или военным билетом для оформления справки в военкомат.» (стр. 28) «Иногородние студенты, проживающие за пределами Московской области, должны помимо этого встать на учёт в Даниловском военкомате.» (стр. 28)","Да, после поступления это нужно сделать каждому первокурснику. Для этого нужно прийти в военно-мобилизационное управление МИФИ с паспортом и приписным свидетельством или военным билетом. Если студент иногородний и живёт за пределами Московской области, ему ещё нужно встать на учёт в Даниловском военкомате."
28,"Если я хочу поступить в ВУЦ, какие требования по здоровью и нормативам обычно проверяют?","«Конкурс на военную кафедру очень большой, поэтому предпочтение отдаётся студентам, успевающим на «хорошо» и «отлично» (для студентов 2 курса берется средний балл за 3 семестр), однако также стоит внимательно отнестись к собственной физической подготовке.» (стр. 29) «При поступлении оценивается выполнение 3-ёх нормативов: подтягивания, бег 100 метров, бег 3 км.» (стр. 30)","При поступлении в ВУЦ смотрят на успеваемость и физическую подготовку. Из нормативов указаны подтягивания, бег 100 метров и бег 3 км. Отдельные требования по здоровью не указаны."
29,"Какие документы нужны, чтобы получить соцкарту и сколько по времени её делают?","«Для оформления необходимо обратиться сперва в Г-101 для оформления заявления на внесение в реестр.» (стр. 31) «После добавления можете подойти в любой многофункциональный центр (МФЦ), при себе иметь: ● паспорт; ● студенческий билет; ● данные страхового полиса; ● СНИЛС. или оформить её на сайте Госуслуг.» (стр. 31)","Сначала нужно обратиться в Г-101, чтобы оформить заявление на внесение в реестр. Потом можно идти в МФЦ или оформить через Госуслуги. Из документов нужны паспорт, студенческий билет, данные страхового полиса и СНИЛС. Срок изготовления не указан."
30,"Можно ли пользоваться поликлиникой при вузе, если у меня ОМС оформлен в другом регионе?","«Первым делом студенту-первокурснику для прикрепления к поликлинике НИЯУ МИФИ №1 (ул. Москворечье, д. 6) необходимо перерегистрировать страховой полис на московский.» (стр. 33)","Если полис ОМС оформлен в другом регионе, сначала его нужно перерегистрировать на московский. После этого можно прикрепляться к поликлинике НИЯУ МИФИ."
31,"Если мне нужна справка для физры или я заболел во время семестра, куда обращаться и какие документы потом нести в деканат?","«…именно поликлиника выдает справки для посещения физкультуры, без которой студента просто не допустят до занятий.» (стр. 34) «Зачет по физкультуре не проставляется, пока не будет пройден медосмотр(справка 086у).» (стр. 34) «Если вы живете в общежитии, то идите в поликлинику, прикрепленную к МИФИ, которая находится по адресу ул. Москворечье 6. Там вас осмотрит врач и выпишет справку на 5 дней.» (стр. 64) «Закрытую справку вы несете в учебный отдел, где вам, при ее предъявлении, выдают допуск по уважительной причине.» (стр. 65) «Если вы не проживаете в общежитии, то вам необходимо обратиться в местную поликлинику. Там вы получите справку, которую нужно заверить в мифической поликлинике и показать представителю учебного отдела.» (стр. 65)","За справкой для физкультуры нужно обращаться в поликлинику. Для физры нужна справка 086у. Если заболел во время семестра и живёшь в общежитии, нужно идти в поликлинику МИФИ на ул. Москворечье, 6. Если не живёшь в общежитии, нужно обратиться в местную поликлинику, потом заверить справку в поликлинике МИФИ. После этого закрытую справку нужно отнести в учебный отдел."
32,"Какие основные правила проживания в общаге: можно ли приводить гостей, есть ли комендантский час и что бывает за нарушения?","«Соблюдайте тишину с 23:00 до 07:00.» (стр. 59) «Время посещения: с 09:00 до 22:00.» (стр. 60) «Родственники и посторонние — только с разрешения администрации.» (стр. 60) «Нарушение пропускного режима может привести к выселению.» (стр. 60) «Что будет за нарушения? • Дисциплинарные меры: замечание, выговор, выселение.» (стр. 61)","Гостей приводить можно только по правилам: время посещения — с 09:00 до 22:00, а родственники и посторонние допускаются только с разрешения администрации. По ночам нужно соблюдать тишину с 23:00 до 07:00. За нарушения могут сделать замечание, выговор или даже выселить."
33,"В каких случаях студент получает обычную академическую стипендию и что нужно, чтобы её не потерять?","«Назначается студентам по результатам зачётно-экзаменационной сессии…» (стр. 35) «Сдать сессию без троек и пересдач.» (стр. 35) «Выплачивается каждый месяц студентам, обучающимся на очной форме обучения на бюджетной основе.» (стр. 35) «Также стоит отметить, что студенты, получившие выговоры и замечания, лишаются стипендии.» (стр. 36)","Обычную академическую стипендию получают студенты очной бюджетной формы по результатам сессии. Для этого нужно сдать сессию без троек и пересдач. Если студент получил выговор или замечание, стипендии он лишается."
34,Что такое ПГАС и за какие достижения её реально дают - только за учёбу или ещё за науку/спорт/активность? Как на неё податься?,"«Повышенные государственные академические стипендии назначаются студентам… за особые достижения в учебной, научно-исследовательской, общественной, культурно-творческой и спортивной деятельности.» (стр. 37) «Может назначаться студентам 1-го курса и старше, получающим государственную академическую стипендию…» (стр. 37) «Назначается на конкурсной основе.» (стр. 37) «Закончить сессию без «троек» и пересдач, а предыдущую сессию без пересдач.» (стр. 38) «Занести свои достижения в портфолио в личном кабинете на сайте университета… подтвердив их копиями, сканами или иными файлами соответствующих документов…» (стр. 38)","ПГАС — это повышенная государственная академическая стипендия. Её дают не только за учёбу, но и за научную, общественную, культурно-творческую и спортивную деятельность. Чтобы податься, нужно закрыть сессию без троек и пересдач и загрузить свои достижения в портфолио в личном кабинете с подтверждающими документами."
35,Кто имеет право на социальную стипендию и какие документы для этого обычно требуют? Можно ли одновременно получать академическую и социальную стипендию?,"«Выплачивается только студентам, обучающимся на бюджетной основе и являющимся: • детьми-сиротами; • детьми, оставшимися без попечения родителей; • детьми-инвалидами; • инвалидами I и II групп; • инвалидами с детства; • студентами, подвергшимися воздействию радиации… • инвалидами вследствие военной травмы… • ветеранами боевых действий; • студентами, имеющими право на получение государственной социальной помощи (нуждающимися); • студентами, проходившим военную службу не менее 3 лет.» (стр. 39) «Нужно предоставить в институт справку, подтверждающую, что вы относитесь именно к данной категории.» (стр. 39) «Студент, претендующий на получение государственной социальной стипендии, подает в институт заявление и подтверждающие документы.» (стр. 40) «Студенты, получающие государственную социальную стипендию, имеют право претендовать на получение государственной академической стипендии на общих основаниях.» (стр. 41)","Социальная стипендия положена только бюджетникам из указанных льготных категорий: например, детям-сиротам, инвалидам, ветеранам боевых действий, нуждающимся и некоторым другим категориям. Для получения нужно подать в институт заявление, справку и подтверждающие документы. Одновременно получать социальную и академическую стипендию можно."
36,Что такое стипендия Президента РФ и реально ли обычному студенту её получить?,"«Получить стипендию Президента РФ для студентов и аспирантов можно при следующих условиях…» (стр. 46) «1. очная форма обучения по специальностям или направлениям подготовки, включенным в федеральный перечень…» (стр. 46) «2. успешное прохождение конкурса и программы отбора.» (стр. 46) «Успехи студентов должны удовлетворять критерию по оценкам ""отлично"" и ""хорошо"", а также одному или нескольким критериям по научным трудам, результатам работы, публикациям.» (стр. 47) «На 2024 год составляет 7 000 рублей в месяц для студентов…» (стр. 47–48)","Стипендия Президента РФ — это отдельная стипендия для студентов и аспирантов. Её можно получить только при очном обучении по направлениям из федерального перечня и после конкурса. Для студентов нужны хорошие оценки и дополнительные достижения, например по науке, публикациям или конкурсам."
37,"Что даёт вступление в профсоюз: кроме взносов, есть ли реальные льготы или дополнительная матпомощь?","«Вступление в организацию обеспечивает: ● получение всеми нуждающимися студентами НИЯУ МИФИ дотаций, материальной помощи и других льгот (билеты в театр, кино, музеи, скидки в фитнес клубы, бесплатные экскурсии) ● организацию мероприятий, акций и конкурсов для студентов и сотрудников; ● получение 25% скидки на билеты РЖД по всей России…» (стр. 49) «Следует знать, что каждый член профсоюза обязан платить взнос в размере 1% от стипендии…» (стр. 49) «Материальная помощь от профсоюза назначается по двум категориям…» (стр. 49–50)","Да, кроме взносов у профсоюза есть льготы и материальная помощь. В тексте указаны дотации, материальная помощь, льготы, скидки в фитнес-клубы, бесплатные экскурсии и скидка 25% на билеты РЖД. При этом член профсоюза платит взнос 1% от стипендии."
38,"Как вообще выбирают старосту в группе - это голосование или назначение сверху? Можно ли отказаться быть старостой или переизбрать его, если группа недовольна?",«Староста учебной группы избирается ежегодно в сентябре на общем собрании группы из числа обучающихся группы и утверждается институтом.» (стр. 50) «В первом учебном семестре староста учебной группы назначается институтом; в конце семестра общее собрание группы может избрать нового старосту.» (стр. 50) «На общем собрании группы должно присутствовать не менее 50% обучающихся группы.» (стр. 50),"Обычно старосту выбирают на общем собрании группы (в сентябре), потом его утверждает институт. В первом семестре старосту может назначить институт. Переизбрать можно: в конце семестра общее собрание группы может выбрать нового старосту. Про “можно ли отказаться быть старостой” отдельно не написано."
39,"Какие обязанности у старосты в вузе, он просто передаёт информацию или реально за что-то отвечает?","«Деятельность старосты в рамках учебной группы осуществляется по следующим направлениям: ● Учебно-административная работа (контроль посещаемости, взаимодействие с преподавателями, связь с учебным отделом); ● Информационная работа (оповещение о текущих и будущих мероприятиях в НИЯУ МИФИ, возможных стажировках и вакансиях, подаче документов для получения стипендий и материальной помощи); ● Организационная работа (помощь в организации мероприятий внутри института или факультета, управление процессами внутри группы); ● Социальная работа (контроль психологического состояния студентов, помощь в решении проблем).» (стр. 51)","Староста — это не только “передать инфу”. У него есть учебно-административные задачи (например, контроль посещаемости, связь с преподавателями и учебным отделом), плюс информационная, организационная и социальная работа в группе."
40,Что такое старостат? Чем он занимается?,"«Старостат НИЯУ МИФИ — составная часть системы студенческого самоуправления НИЯУ МИФИ, которая даёт возможность каждому студенту — вне зависимости от области его интересов — принимать участие в повышении качества образовательного процесса в Университете.» (стр. 50) «Старостат университета состоит из старостатов институтов и факультетов, они, в свою очередь – из старост потоков (курсов), координирующих работу старост учебных групп.» (стр. 51)","Старостат - это часть студенческого самоуправления. Его смысл — чтобы студенты могли участвовать в улучшении учебного процесса. По структуре: есть старостат университета, ниже — старостаты институтов/факультетов, а ещё ниже — старосты курсов, которые координируют старост учебных групп."
41,Какие спортивные площадки или залы есть рядом с университетом и можно ли туда ходить без абонемента?,"«Спортивный городок НИЯУ МИФИ В часы работы на территории университета доступны площадки для выполнения силовых упражнений. Есть тренажерный зал.» (стр. 52) «Парк Садовники На территории парка находятся: скейт-парк, площадки для баскетбола, футбола, волейбола, воркаута и настольного тенниса.» (стр. 52) «Тренажёрные залы общежития НИЯУ МИФИ К занятиям в зале по адресу ул. Москворечье, д. 2, корп. 1 допускаются все студенты.» (стр. 52)","Рядом с университетом есть спортивный городок НИЯУ МИФИ, площадки у 9 корпуса общежития, парк Садовники, парк Коломенское, тренажёрные залы общежитий и платные фитнес-клубы. Без абонемента точно указаны площадки на территории МИФИ, парк Садовники, парк Коломенское и зал на ул. Москворечье, д. 2, корп. 1, куда допускаются все студенты."
